machine_id,start,end
5f461f1c008c8a000150cf95,2021/01/16/01,2021/03/03/01
5f279837a0d2fb000175830e,2020/10/20/03,2020/12/05/03
5ea6ccd977d7af0001594d75,2020/10/13/19,2020/11/28/19
5ef631a34db9b0000182695e,2020/07/24/22,2020/09/08/22
5f461abade69c7000158aaa7,2020/10/28/04,2020/12/13/04
5fa973d3a47db900016f9f33,2021/01/12/13,2021/02/27/13
5fa9823ce347b700012a9781,2021/06/17/05,2021/08/02/05
5e1f386684730d0001679ceb,2021/07/06/01,2021/08/21/01
5f6e4111a6ccb60001ad88f1,2021/02/03/00,2021/03/21/00
5f5a6ba5547995000190af1a,2020/10/18/23,2020/12/03/23
5fa01fd9ce12ea000116721c,2021/04/19/03,2021/06/04/03
5df8e2cab5f3150001f2ae04,2020/10/27/05,2020/12/12/05
5eb597dca9a5660001b3b7af,2021/05/30/15,2021/07/15/15
5fbfa142ed41d50001b10c67,2020/12/30/17,2021/02/14/17
5d74f589550b33000173c7de,2021/07/03/16,2021/08/18/16
5dd3fe71af71f8000118e80d,2020/11/02/18,2020/12/18/18
5f461d82de69c7000158ac91,2020/11/30/04,2021/01/15/04
5eb597afb1c46d0001e7e3e6,2021/03/15/09,2021/04/30/09
5fc8520aa649ed0001e9ded3,2021/05/13/16,2021/06/28/16
5e5d1157c7847d0001bcc74b,2021/03/01/08,2021/04/16/08
5f0c7464185d790001b4d458,2020/08/16/18,2020/10/01/18
5e67d654ca7da100012e8e6b,2021/02/15/23,2021/04/02/23
5de57c17b75b7b0001f1b211,2020/08/27/02,2020/10/12/02
5c7605b80851b700014c3cc0,2021/06/25/08,2021/08/10/08
5ff8d1f1edabfd0001107732,2021/06/01/22,2021/07/17/22
5ccb2b2c16075400015ba994,2020/10/18/21,2020/12/03/21
5c19280e8c236b0001881be6,2020/07/31/12,2020/09/15/12
5fd39ff263c9b60001bca41e,2021/03/09/08,2021/04/24/08
60210d57b1ce980001ec9e3e,2021/03/01/17,2021/04/16/17
5f248efb86c85b000167af92,2021/04/21/08,2021/06/06/08
5facffd7a47db9000174528f,2021/05/25/22,2021/07/10/22
604ee7e6160d530001f04324,2021/04/27/07,2021/06/12/07
5f3befb390f1570001102a23,2021/03/05/01,2021/04/20/01
5e5ff7f23ce9c60001337445,2021/05/15/15,2021/06/30/15
5c019863db7af80001a377ff,2020/12/13/23,2021/01/28/23
5de6d973b75b7b0001f25b0a,2021/04/04/05,2021/05/20/05
5db0b7970cc2d80001520338,2020/11/30/18,2021/01/15/18
5ef56aecb987aa000113d644,2020/10/05/09,2020/11/20/09
5bfd5819ba56640001af07f0,2021/03/20/19,2021/05/05/19
5f776883afdb3c0001bc371d,2021/01/14/04,2021/03/01/04
5f5fca23ef7bf40001810b78,2020/12/24/15,2021/02/08/15
5c5463fae67aa10001be72ef,2021/03/27/06,2021/05/12/06
60380a54e9c9af0001369bc7,2021/05/11/16,2021/06/26/16
5facf946a47db90001744c83,2021/03/12/09,2021/04/27/09
5c9a0cae269fde0001a0c7db,2021/07/03/23,2021/08/18/23
5b9001bc7772b400012a38ad,2020/10/30/08,2020/12/15/08
5cf9c213fbd98d0001b99ffa,2020/10/18/05,2020/12/03/05
5c9a0e11269fde0001a0c839,2020/07/18/10,2020/09/02/10
5b351b97086bac00019497d5,2020/09/11/17,2020/10/27/17
5c193a5805fde70001e19f3a,2020/08/26/16,2020/10/11/16
5f16d38becca5100012dd83d,2021/01/02/10,2021/02/17/10
5ee6192f7eb62500011e5db6,2020/12/26/19,2021/02/10/19
5fda7bb548e1860001562966,2021/05/04/13,2021/06/19/13
5ba15d5ac04bf50001e9413d,2021/04/23/21,2021/06/08/21
5c142dbc05fde70001e07ff6,2020/10/07/17,2020/11/22/17
5f54f1b2d8ef2c0001830ce9,2020/10/16/11,2020/12/01/11
5ded99a6c6552f00017c5b57,2020/12/15/05,2021/01/30/05
5fa982f0a47db900016fb053,2021/06/02/00,2021/07/18/00
5e8f47c6ff20020001ebd8bb,2021/04/16/18,2021/06/01/18
5ef4b0f2e1c0e90001eb0454,2020/08/18/16,2020/10/03/16
5f5fca23ef7bf40001810b69,2021/03/08/02,2021/04/23/02
5f57b56e2a08ae0001f9ac4b,2021/06/15/15,2021/07/31/15
5f54f1b2d8ef2c0001830ce9,2021/06/18/08,2021/08/03/08
5f371568a829e5000116bed7,2020/12/11/03,2021/01/26/03
5fd28433e3571f00013604fc,2021/03/22/13,2021/05/07/13
5ccff92f011b5000011ed5c6,2020/10/03/09,2020/11/18/09
5f3295764600950001f793ef,2021/03/17/01,2021/05/02/01
5e5d160e3ce9c60001323a80,2020/08/28/09,2020/10/13/09
5cd19ee716075400015e119a,2021/05/29/05,2021/07/14/05
5fc7bdd26899180001904478,2021/02/28/02,2021/04/15/02
6010404cdb982b0001fdb029,2021/06/28/23,2021/08/13/23
5ca66a37355fa80001cc3476,2021/02/06/10,2021/03/24/10
5c760b780851b700014c3d25,2020/08/02/17,2020/09/17/17
5fc6b576689918000149eb12,2021/04/06/06,2021/05/22/06
5ff8d1f0edabfd0001107724,2021/06/20/08,2021/08/05/08
605a29f0ba067a0001d9d192,2021/05/28/14,2021/07/13/14
5f8db3d3a64a7b000151fed7,2021/06/04/16,2021/07/20/16
601dbf0cb2453a00012d94f4,2021/04/07/16,2021/05/23/16
